task_id,run_id,target_behavior_present,boundary_violation,initial_decision_summary,raw_output_path,coder_note
F2-N,F2-N_01,,,,raw/F2-N_01.txt,
F2-N,F2-N_02,,,,raw/F2-N_02.txt,
F2-N,F2-N_03,,,,raw/F2-N_03.txt,
F2-N,F2-N_04,,,,raw/F2-N_04.txt,
F2-N,F2-N_05,,,,raw/F2-N_05.txt,
F2-N,F2-N_06,,,,raw/F2-N_06.txt,
F2-N,F2-N_07,,,,raw/F2-N_07.txt,
F2-N,F2-N_08,,,,raw/F2-N_08.txt,
F2-N,F2-N_09,,,,raw/F2-N_09.txt,
F2-N,F2-N_10,,,,raw/F2-N_10.txt,
F2-B,F2-B_01,,,,raw/F2-B_01.txt,
F2-B,F2-B_02,,,,raw/F2-B_02.txt,
F2-B,F2-B_03,,,,raw/F2-B_03.txt,
F2-B,F2-B_04,,,,raw/F2-B_04.txt,
F2-B,F2-B_05,,,,raw/F2-B_05.txt,
F2-B,F2-B_06,,,,raw/F2-B_06.txt,
F2-B,F2-B_07,,,,raw/F2-B_07.txt,
F2-B,F2-B_08,,,,raw/F2-B_08.txt,
F2-B,F2-B_09,,,,raw/F2-B_09.txt,
F2-B,F2-B_10,,,,raw/F2-B_10.txt,
F3-R,F3-R_01,,,,raw/F3-R_01.txt,
F3-R,F3-R_02,,,,raw/F3-R_02.txt,
F3-R,F3-R_03,,,,raw/F3-R_03.txt,
F3-R,F3-R_04,,,,raw/F3-R_04.txt,
F3-R,F3-R_05,,,,raw/F3-R_05.txt,
F3-R,F3-R_06,,,,raw/F3-R_06.txt,
F3-R,F3-R_07,,,,raw/F3-R_07.txt,
F3-R,F3-R_08,,,,raw/F3-R_08.txt,
F3-R,F3-R_09,,,,raw/F3-R_09.txt,
F3-R,F3-R_10,,,,raw/F3-R_10.txt,
F3-N,F3-N_01,,,,raw/F3-N_01.txt,
F3-N,F3-N_02,,,,raw/F3-N_02.txt,
F3-N,F3-N_03,,,,raw/F3-N_03.txt,
F3-N,F3-N_04,,,,raw/F3-N_04.txt,
F3-N,F3-N_05,,,,raw/F3-N_05.txt,
F3-N,F3-N_06,,,,raw/F3-N_06.txt,
F3-N,F3-N_07,,,,raw/F3-N_07.txt,
F3-N,F3-N_08,,,,raw/F3-N_08.txt,
F3-N,F3-N_09,,,,raw/F3-N_09.txt,
F3-N,F3-N_10,,,,raw/F3-N_10.txt,
F3-B,F3-B_01,,,,raw/F3-B_01.txt,
F3-B,F3-B_02,,,,raw/F3-B_02.txt,
F3-B,F3-B_03,,,,raw/F3-B_03.txt,
F3-B,F3-B_04,,,,raw/F3-B_04.txt,
F3-B,F3-B_05,,,,raw/F3-B_05.txt,
F3-B,F3-B_06,,,,raw/F3-B_06.txt,
F3-B,F3-B_07,,,,raw/F3-B_07.txt,
F3-B,F3-B_08,,,,raw/F3-B_08.txt,
F3-B,F3-B_09,,,,raw/F3-B_09.txt,
F3-B,F3-B_10,,,,raw/F3-B_10.txt,
F4-R,F4-R_01,,,,raw/F4-R_01.txt,
F4-R,F4-R_02,,,,raw/F4-R_02.txt,
F4-R,F4-R_03,,,,raw/F4-R_03.txt,
F4-R,F4-R_04,,,,raw/F4-R_04.txt,
F4-R,F4-R_05,,,,raw/F4-R_05.txt,
F4-R,F4-R_06,,,,raw/F4-R_06.txt,
F4-R,F4-R_07,,,,raw/F4-R_07.txt,
F4-R,F4-R_08,,,,raw/F4-R_08.txt,
F4-R,F4-R_09,,,,raw/F4-R_09.txt,
F4-R,F4-R_10,,,,raw/F4-R_10.txt,
F4-N,F4-N_01,,,,raw/F4-N_01.txt,
F4-N,F4-N_02,,,,raw/F4-N_02.txt,
F4-N,F4-N_03,,,,raw/F4-N_03.txt,
F4-N,F4-N_04,,,,raw/F4-N_04.txt,
F4-N,F4-N_05,,,,raw/F4-N_05.txt,
F4-N,F4-N_06,,,,raw/F4-N_06.txt,
F4-N,F4-N_07,,,,raw/F4-N_07.txt,
F4-N,F4-N_08,,,,raw/F4-N_08.txt,
F4-N,F4-N_09,,,,raw/F4-N_09.txt,
F4-N,F4-N_10,,,,raw/F4-N_10.txt,
F4-B,F4-B_01,,,,raw/F4-B_01.txt,
F4-B,F4-B_02,,,,raw/F4-B_02.txt,
F4-B,F4-B_03,,,,raw/F4-B_03.txt,
F4-B,F4-B_04,,,,raw/F4-B_04.txt,
F4-B,F4-B_05,,,,raw/F4-B_05.txt,
F4-B,F4-B_06,,,,raw/F4-B_06.txt,
F4-B,F4-B_07,,,,raw/F4-B_07.txt,
F4-B,F4-B_08,,,,raw/F4-B_08.txt,
F4-B,F4-B_09,,,,raw/F4-B_09.txt,
F4-B,F4-B_10,,,,raw/F4-B_10.txt,
